id,kampong,mukim,district,gender,age,education,q_fbspeed,q_fbqual,q_mbqual,q_fbexpend,q_fbusage,q_limiting
142,Kg. Putat,Mukim Lumapas,Brunei-Muara,Female,43,Master Degree,316,Fair,Good,195,450,I often avoid using certain websites just because I find them to not have any relevant information that helps me with my daily life.
143,Kg. Bukit Beruang,Mukim Telisai,Tutong,Female,47,A Level,13,Good,Good,195,630,It's really hard for me to afford broadband when you have to pay upfront installation fees that just seem like rip-offs.
144,Perumahan Negara Lumut Kawasan 2,Mukim Liang,Belait,Female,41,Lower Secondary,115,Fair,Good,194,510,I've tried a few cheaper internet providers in the past and it's hard to see how paying more each month can make that much of a difference on what I get.
145,Kg. Rimba,Mukim Gadong A,Brunei-Muara,Male,33,Bachelor Degree,53,Fair,Very Good,194,570,I'm really struggling to watch Netflix regularly because it's just too expensive on my tight budget every month.
146,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,38,O Level,51,Very Good,Fair,194,730,I struggle to stay connected and watch videos on demand without having to cut back way too much.
147,Kg. Pasai,Mukim Sengkurong,Brunei-Muara,Female,39,National Diploma,38,Fair,Good,194,440,It's hard when streaming services are too pricey on my limited plan so I have to skip catching up on new shows and movies.
148,Kg. Sungai Tilong,Mukim Berakas B,Brunei-Muara,Female,51,Bachelor Degree,49,Excellent,Fair,194,280,I don't have an internet connection at home because they cancelled our service last week and I'm waiting for them to set it up again.
149,STKRJ Mata-Mata Kawasan 1,Mukim Gadong B,Brunei-Muara,Female,26,Master Degree,179,Excellent,Very Good,193,680,It's really frustrating when I have to manually log in and reconcile all these separate charges every month - sometimes it feels like they're trying to make things more complicated instead of simplifying them.
150,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Male,28,National Diploma,61,Fair,Excellent,193,510,I've never been able to use their services more than a handful of times because their prices are just way out of range for my budget.
151,STKRJ Mata-Mata Kawasan 3,Mukim Gadong B,Brunei-Muara,Male,49,A Level,51,Fair,Fair,193,410,I only stream shows and watch videos when my family is doing something else at home to get through an entire month of service without running out of data.
152,Pekan Seria Kawasan 2,Mukim Seria,Belait,Female,62,Bachelor Degree,160,Fair,Good,191,560,I try to cut back on internet use sometimes because it's just not worth breaking the bank each month for all those extra fees.
153,Bukit Bendera,Mukim Pekan Tutong,Tutong,Female,32,O Level,30,Fair,Excellent,51,240,I'm really hesitant to stream too much because I just don't want to max out my limited data plan every month and get stuck with sky-high charges.
154,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,38,Lower Secondary,84,Fair,Good,51,170,"I've tried to use some free resources to find a job that allows internet, but most of them aren't worth it because of the lack of benefits and job security."
155,Kg. Burong Lepas,Mukim Kilanas,Brunei-Muara,Female,50,O Level,725,Excellent,Good,191,500,I don't really see the point in getting internet at home when we already have it at our neighbor's house.
156,Kg. Sungai Bera,Mukim Seria,Belait,Female,40,A Level,169,Good,Fair,191,160,I avoid spending much time on the internet at home because I'm always worried about downloading some kind of virus or getting phished.
157,Kg. Sungai Tilong,Mukim Berakas B,Brunei-Muara,Male,46,Master Degree,22,Very Good,Good,191,570,It's hard when you need to stream movies from Netflix without it buffering all the time on your slow internet connection.
158,Kg. Rimba,Mukim Gadong A,Brunei-Muara,Female,27,Bachelor Degree,125,Good,Good,191,420,It's frustrating for me to stay connected with family when we're on different highways and our phones just can't get a decent signal.
159,Kg. Sungai Kelugos,Mukim Keriam,Tutong,Female,40,Master Degree,33,Very Good,Very Good,191,640,It's always frustrating for me when websites require that one-time payment just to get access to their content – it feels like I'm being nickel-and-dimed every time I try to use them.
160,Kg. Telisai,Mukim Telisai,Tutong,Female,51,Bachelor Degree,967,Poor,Fair,33,310,I've tried to find good internet deals in this area before but nothing seems really affordable that can meet our needs and save us money.
161,Kg. Serdang,Mukim Kota Batu,Brunei-Muara,Male,54,National Certificate,787,Very Good,Very Good,190,520,I'd much rather use streaming services than pay for expensive software every few years just to access apps and shows I already have at home.
162,Kg. Sabun,Mukim Serasa,Brunei-Muara,Female,38,A Level,48,Poor,Good,188,370,It's hard for me to keep up with the latest technology and internet trends when I don't feel confident using online tools.
163,Kg. Sungai Orok,Mukim Berakas B,Brunei-Muara,Male,28,National Diploma,32,Very Poor,Good,188,240,I don't sign up for services with annual fees before using anything because it felt really expensive upfront.
164,Kg. Mumong A,Mukim Kuala Belait,Belait,Female,32,Diploma,9,Good,Very Good,188,440,I never use this app or website because it's not very helpful to me in any way.
165,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Female,31,Higher National Diploma,57,Fair,Very Good,188,360,I struggle to stream videos and watch HD movies because my limited internet plan just can't handle it without dropping every few seconds.
166,Perumahan Negara Rimba Kawasan 5,Mukim Gadong A,Brunei-Muara,Male,58,Lower Secondary,55,Fair,Excellent,188,320,"It's tough for me to afford reliable internet at home, so I usually stick to public Wi-Fi when I'm away from work."
167,Kg. Pandan A,Mukim Kuala Belait,Belait,Male,41,Lower Secondary,55,Good,Fair,188,730,I feel forced to spend less on internet than I need to in order to afford food bills and other essentials that aren't included.
168,Kg. Bengkurong,Mukim Kilanas,Brunei-Muara,Female,60,O Level,49,Excellent,Fair,187,400,I'm not willing to subscribe to more expensive plans just because they offer better speeds and coverage in my area.
169,Kg. Pandan A,Mukim Kuala Belait,Belait,Female,33,O Level,50,Fair,Excellent,186,370,"It's really frustrating when I'm in the middle of a project and need to download something online, only for it to time out because I don't have enough data left on my low-tier subscription."
170,Kg. Sinarubai,Mukim Kilanas,Brunei-Muara,Female,53,Bachelor Degree,20,Very Good,Very Good,7,100,"It's really frustrating to want all the extra features they offer, but then the price just overwhelms me every single month."
171,Perumahan Negara Rimba Kawasan 4,Mukim Gadong A,Brunei-Muara,Male,41,A Level,55,Good,Good,186,240,Pay bills on time is just too hard due to all the hoops I have to jump through every month.
172,Kg. Katok,Mukim Gadong A,Brunei-Muara,Female,45,National Diploma,51,Fair,Good,33,120,"It's really frustrating to sign up for new services because I just can't afford the upfront fee, let alone get stuck with long-term monthly costs that add up fast."
173,Kg. Menglait,Mukim Gadong B,Brunei-Muara,Male,38,Bachelor Degree,45,Good,Fair,185,510,"The apps and channels I'm interested in aren't available, so it's pretty frustrating whenever I try to access something that sounds like it should be there."
174,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Male,48,A Level,129,Good,Good,185,580,It's really frustrating when I need to stream something and it buffers endlessly because you guys don't get our area's signal right yet.
175,Kg. Lambak B,Mukim Berakas A,Brunei-Muara,Male,24,Master Degree,52,Excellent,Good,185,490,I get frustrated when I sign up for something that promises to improve my internet speed but it never actually comes through.
176,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Male,38,Higher National Diploma,85,Good,Fair,185,570,It's hard for me to stream videos without worrying that it'll slow down our entire household network.
177,Kg. Tanah Jambu,Mukim Mentiri,Brunei-Muara,Female,47,Bachelor Degree,142,Good,Good,184,370,I'd much rather watch TV than pay for reliable internet to compete with streaming services.
178,Kg. Pengiran Siraja Muda Delima Satu,Mukim Berakas A,Brunei-Muara,Male,26,O Level,244,Fair,Good,184,220,I rarely sign up for new services because one-time fees and setup costs are just so expensive it feels like they're nickel-and-diming me.
179,Kg. Tasek Lama,Mukim Kianggeh,Brunei-Muara,Male,45,Master Degree,19,Good,Poor,184,460,It's hard to justify spending so much on internet when I've got bills to pay and rent to cover.
180,Kg. Sengkurong A,Mukim Sengkurong,Brunei-Muara,Male,29,Diploma,198,Very Good,Good,184,560,I avoid using public computers at the library because I hear they're always vulnerable to hacking and data theft.
181,Kg. Pandan B,Mukim Kuala Belait,Belait,Male,61,Bachelor Degree,24,Good,Good,51,80,I try not to shop on unfamiliar websites because it's hard when you can be phished into giving out all your personal info.
182,Kg. Masin,Mukim Pangkalan Batu,Brunei-Muara,Female,25,Higher National Diploma,190,Good,Poor,51,130,It's really frustrating when you're trying to stream your favorite show or video call family members but it always drops out because of weak signals here.
183,Kg. Sungai Kelugos,Mukim Keriam,Tutong,Male,41,O Level,55,Good,Good,184,540,It's hard to stream videos when I know my internet speed is consistently lagging behind everything else online.
184,Kg. Kapok,Mukim Serasa,Brunei-Muara,Female,47,Higher National Diploma,237,Very Good,Good,51,280,"I wish I could upgrade to faster speeds, but it's just not in our budget right now."
185,Pekan Kuala Belait,Mukim Kuala Belait,Belait,Male,28,Bachelor Degree,526,Fair,Good,183,600,"It's really frustrating when they change their payment plans every few months, making it hard to keep track of how much I'm being charged."
186,STKRJ Mata-Mata Kawasan 3,Mukim Gadong B,Brunei-Muara,Female,36,A Level,36,Good,Good,183,710,The subscription model just isn't for me after paying that steep setup fee.
187,Perumahan Negara Lambak Kanan Kawasan 2,Mukim Berakas B,Brunei-Muara,Female,12,O Level,63,Very Good,Very Good,183,790,It's hard for me to justify paying extra just to get constant reliable broadband.
188,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Male,24,Higher National Diploma,59,Fair,Fair,183,660,I almost don't sign up for services online because I work on a tight budget and that one-time fee feels like a lot more than it has to be.
189,Kg. Sungai Akar,Mukim Berakas B,Brunei-Muara,Male,42,Bachelor Degree,38,Very Poor,Very Good,183,430,It's really frustrating buying a new router every two years just to pay for that one-time setup fee again.
190,Kg. Jangsak,Mukim Kilanas,Brunei-Muara,Male,24,National Certificate,199,Good,Good,182,590,It's hard for me to afford reliable internet at a price that won't break the bank every month.
191,Kg. Selayun,Mukim Sengkurong,Brunei-Muara,Female,27,National Diploma,29,Excellent,Good,182,510,I rarely use websites for work or school because it's extremely frustrating trying to hold conversations that still take forever to buffer.
192,Kg. Penanjong,Mukim Pekan Tutong,Tutong,Female,36,O Level,54,Fair,Good,181,340,I rarely answer or make phone calls from home because the signal is so weak and call drops all the time.
193,Kg. Meragang,Mukim Serasa,Brunei-Muara,Male,28,O Level,48,Good,Good,181,250,I avoid buying things online whenever possible because I'm constantly afraid of getting hacked and losing money.
194,Kg. Panaga,Mukim Seria,Belait,Male,61,National Diploma,25,Very Good,Very Good,51,290,I rarely buy software because one-time fees for the programs I need just add up too quickly.
195,Kg. Pandan A,Mukim Kuala Belait,Belait,Male,18,Bachelor Degree,14,Fair,Fair,181,720,It's frustrating when my online activities lag because of this low-speed connection that leaves me wanting more faster speeds.
196,Kg. Panchor Mentiri,Mukim Mentiri,Brunei-Muara,Female,26,O Level,76,Fair,Fair,181,580,I have to cut back on browsing and streaming because my limited data plan just can't afford it all anymore.
197,Kg. Sungai Asam,Mukim Lumapas,Brunei-Muara,Female,31,A Level,59,Very Good,Good,51,90,"Honestly, it's getting frustrating because I need good speeds for remote work and streaming at home but here we are with constant buffering and dropped calls."
198,Kg. Sungai Sulok,Mukim Bangar,Temburong,Male,29,Higher National Diploma,1168,Very Good,Very Good,33,100,I'm careful not to use services like streaming to avoid blowing through my monthly budget all at once.
